\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"
"ability_windrunner_powershot_Lore"	"В ранние годы своих тренировок Лиралей научилась стрелять мощными стрелами, которые на пути к своей цели пробивают даже деревья."
"[english]ability_windrunner_powershot_Lore"	"During her early years of training, Lyralei learned to fire powerful arrows that cleaved even trees to reach their targets."

"ability_windrunner_powershot_arrow_range"	"ДАЛЬНОСТЬ:"
"[english]ability_windrunner_powershot_arrow_range"	"RANGE:"

"ability_windrunner_shackleshot"	"Shackleshot"
"[english]ability_windrunner_shackleshot"	"Shackleshot"

"ability_windrunner_shackleshot_Description"	"Связывает цель с находящимся позади неё врагом или деревом. Если цель не будет с чем-то связана, длительность оглушения сократится до 0,75 секунды."
"[english]ability_windrunner_shackleshot_Description"	"Shackles the target to an enemy unit or tree in a line directly behind it.  If no unit or tree is present, the stun duration is reduced to 0.75."

"ability_windrunner_shackleshot_Lore"	"Мастерство владения луком позволяет Лиралей выпустить стрелу с толстой верёвкой, которая не даст жертве вырваться."
"[english]ability_windrunner_shackleshot_Lore"	"Windranger's variety of bow skills includes an arrow with thick ropes attached to encumber any escaping target."

"ability_windrunner_shackleshot_stun_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_windrunner_shackleshot_stun_duration"	"SHACKLE DURATION:"

"ability_windrunner_windrun"	"Windrun"
"[english]ability_windrunner_windrun"	"Windrun"

"ability_windrunner_windrun_Description"	"Увеличивает скорость передвижения героя и позволяет ему уворачиваться от всех физических атак, при этом замедляя скорость передвижения врагов поблизости.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_windrunner_windrun_Description"	"Increases movement speed and adds evasion from all physical attacks, while slowing movement of nearby enemies. \n\nUpgradable by Aghanim's Scepter."

"ability_windrunner_windrun_Lore"	"Лиралей зачаровывает порывы ветра, и они отражают удары по ней."
"[english]ability_windrunner_windrun_Lore"	"Lyralei enchants gusts of winds to fight incoming attacks."

"ability_windrunner_windrun_enemy_movespeed_bonus_pct"	"%ЗАМЕДЛЕНИЕ ВРАГОВ:"
"[english]ability_windrunner_windrun_enemy_movespeed_bonus_pct"	"%ENEMY SLOW:"

"ability_windrunner_windrun_movespeed_bonus_pct"	"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_windrunner_windrun_movespeed_bonus_pct"	"%MOVE SPEED BONUS:"

"ability_windrunner_windrun_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_windrunner_windrun_duration"	"DURATION:"

"ability_lion_impale"	"Earth Spike"
"[english]ability_lion_impale"	"Earth Spike"

"ability_lion_impale_Description"	"Из земли прорывается полоса каменных шипов. Они подбрасывают врагов в воздух, а по приземлении оглушают их и наносят урон."
"[english]ability_lion_impale_Description"	"Rock spikes burst from the earth along a straight path. Enemy units are hurled into the air, then are stunned and take damage when they fall."

"ability_lion_impale_Lore"	"Демонолог осуществляет свой демонический завет, открывая трещину в ад."
"[english]ability_lion_impale_Lore"	"The Demon Witch exercises his demonic covenant, opening a fissure from hell."

"ability_lion_impale_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"[english]ability_lion_impale_duration"	"STUN DURATION:"

"ability_lion_voodoo"	"Hex"
"[english]ability_lion_voodoo"	"Hex"

"ability_lion_voodoo_Description"	"Превращает врага в безобидную зверюшку, блокируя все его способности."
"[english]ability_lion_voodoo_Description"	"Transforms an enemy unit into a harmless beast, with all special abilities disabled."

"ability_lion_voodoo_Lore"	"Демонолог вынужден разделять своё преобразование с несогласными, закручивая и их сущность."
"[english]ability_lion_voodoo_Lore"	"Lion is compelled to share his transfiguration, twisting the essence of those who oppose him."

"ability_lion_voodoo_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_lion_voodoo_duration"	"DURATION:"

"ability_lion_mana_drain"	"Mana Drain"
"[english]ability_lion_mana_drain"	"Mana Drain"

"ability_lion_mana_drain_Description"	"ПРЕРЫВАЕМАЯ — поглощает магическую энергию цели, с каждой секундой передавая её ману владельцу способности."
"[english]ability_lion_mana_drain_Description"	"CHANNELED - Absorbs the magical energies of a target enemy unit by taking mana from it every second."

"ability_lion_mana_drain_Lore"	"Младшие маги — не более чем источник магической силы для демонолога."
"[english]ability_lion_mana_drain_Lore"	"Lesser magi are nothing more than a source of magical restoration for the Demon Witch."

"ability_lion_mana_drain_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_lion_mana_drain_duration"	"CHANNEL TIME:"

"ability_lion_mana_drain_mana_per_second"	"МАНЫ В СЕКУНДУ:"
"[english]ability_lion_mana_drain_mana_per_second"	"MANA PER SECOND:"

"ability_lion_mana_drain_break_distance"	"РАССТОЯНИЕ РАЗРЫВА:"
"[english]ability_lion_mana_drain_break_distance"	"BREAK DISTANCE:"

"ability_lion_finger_of_death"	"Finger of Death"
"[english]ability_lion_finger_of_death"	"Finger of Death"

"ability_lion_finger_of_death_Description"	"Разрывает вражеское существо, пытаясь вывернуть его наизнанку. Наносит большой урон, который увеличивается с каждым убитым этой способностью врагом.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_lion_finger_of_death_Description"	"Rips at an enemy unit, trying to turn it inside-out. Deals massive damage and grows stronger with each life it consumes.\n\nUpgradable by Aghanim's Scepter."

"ability_lion_finger_of_death_Lore"	"Изувеченная рука демонолога является источником его великой силы, способной утопить жертв колдовской мощью."
"[english]ability_lion_finger_of_death_Lore"	"Lion's disfigured hand is also the source of his greatest power, capable of flooding victims with malefic force."

"ability_vengefulspirit_magic_missile"	"Magic Missile"
"[english]ability_vengefulspirit_magic_missile"	"Magic Missile"

"ability_vengefulspirit_magic_missile_Description"	"Выпускает во врага магический снаряд, который оглушает и наносит урон."
"[english]ability_vengefulspirit_magic_missile_Description"	"Fires a magic missile at an enemy unit, stunning and dealing damage."

"ability_vengefulspirit_magic_missile_Lore"	"Простейший скайрасский приём — магический снаряд — основной инструмент мести Шендел."
"[english]ability_vengefulspirit_magic_missile_Lore"	"A simple Skywrath technique, the magic missile is Shendel's primary tool for vengeance."

"ability_vengefulspirit_magic_missile_magic_missile_stun"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"[english]ability_vengefulspirit_magic_missile_magic_missile_stun"	"STUN DURATION:"

"ability_vengefulspirit_wave_of_terror"	"Wave of Terror"
"[english]ability_vengefulspirit_wave_of_terror"	"Wave of Terror"

"ability_vengefulspirit_wave_of_terror_Description"	"Герой издаёт жуткий клич, ослабляя броню врагов и раскрывая туман войны."
"[english]ability_vengefulspirit_wave_of_terror_Description"	"Vengeful Spirit lets loose a wicked cry, weakening the armor of enemies and giving vision of the path ahead."

"ability_vengefulspirit_wave_of_terror_Lore"	"Душераздирающий голос Шендел предупреждает о её приближении."
"[english]ability_vengefulspirit_wave_of_terror_Lore"	"Shendel's haunting voice hints at her approaching vindication."

"ability_vengefulspirit_wave_of_terror_armor_reduction"	"СНИЖЕНИЕ БРОНИ:"
