\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"
"modifier_tiny_avalanche_stun"	"Avalanche"
"[english]modifier_tiny_avalanche_stun"	"Avalanche"

"modifier_tiny_avalanche_stun_Description"	"Оглушен падающими камнями."
"[english]modifier_tiny_avalanche_stun_Description"	"Stunned by falling rocks."

"modifier_vengefulspirit_wave_of_terror"	"Wave of Terror"
"[english]modifier_vengefulspirit_wave_of_terror"	"Wave of Terror"

"modifier_vengefulspirit_wave_of_terror_Description"	"Основная броня снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_vengefulspirit_wave_of_terror_Description"	"Base armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_vengefulspirit_command_aura_effect"	"Vengeance Aura"
"[english]modifier_vengefulspirit_command_aura_effect"	"Vengeance Aura"

"modifier_vengefulspirit_command_aura_effect_Description"	"%dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% доп. урона"
"[english]modifier_vengefulspirit_command_aura_effect_Description"	"%dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% bonus damage"

"modifier_windrunner_windrun"	"Windrun"
"[english]modifier_windrunner_windrun"	"Windrun"

"modifier_windrunner_windrun_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, уклонение от всех физических атак"
"[english]modifier_windrunner_windrun_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and evading all physical attacks"

"modifier_windrunner_windrun_slow"	"Замедление от Windrun"
"[english]modifier_windrunner_windrun_slow"	"Windrun Slow"

"modifier_windrunner_windrun_slow_Description"	"Потоки ветра вокруг Windranger снижают вашу скорость передвижения на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"[english]modifier_windrunner_windrun_slow_Description"	"Gusts of wind around Windranger reduce your movement speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"modifier_windrunner_focusfire"	"Focus Fire"
"[english]modifier_windrunner_focusfire"	"Focus Fire"

"modifier_windrunner_focusfire_Description"	"Атакует с огромной скоростью, но урон понижается на %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%"
"[english]modifier_windrunner_focusfire_Description"	"Constantly attacking with greatly increased attack speed and %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%% reduced damage"

"modifier_riki_smoke_screen"	"Smoke Screen"
"[english]modifier_riki_smoke_screen"	"Smoke Screen"

"modifier_riki_smoke_screen_Description"	"Промахивается в %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% случаев. Скорость передвижения уменьшена."
"[english]modifier_riki_smoke_screen_Description"	"Missing %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% of attacks. Move Speed slowed."

"modifier_enigma_malefice"	"Malefice"
"[english]modifier_enigma_malefice"	"Malefice"

"modifier_enigma_malefice_Description"	"Наносит %dMODIFIER_PROPERTY_TOOLTIP% урона и оглушает на %fMODIFIER_PROPERTY_TOOLTIP% сек. каждые %fMODIFIER_PROPERTY_TOOLTIP% сек."
"[english]modifier_enigma_malefice_Description"	"Does %dMODIFIER_PROPERTY_TOOLTIP% damage and stuns for %fMODIFIER_PROPERTY_TOOLTIP% seconds every %fMODIFIER_PROPERTY_TOOLTIP% seconds."

"modifier_demonic_conversion"	"Demonic Conversion"
"[english]modifier_demonic_conversion"	"Demonic Conversion"

"modifier_demonic_conversion_Description"	"Эта сущность контролируется Enigma."
"[english]modifier_demonic_conversion_Description"	"This entity is under control of Enigma."

"modifier_enigma_black_hole_pull"	"Black Hole"
"[english]modifier_enigma_black_hole_pull"	"Black Hole"

"modifier_enigma_black_hole_pull_Description"	"Получает урон каждую секунду, оглушен, притягивается к горизонту событий."
"[english]modifier_enigma_black_hole_pull_Description"	"Taking damage per second, stunned, and being pulled towards the event horizon."

"modifier_tinker_laser_blind"	"Ослепление от Laser"
"[english]modifier_tinker_laser_blind"	"Laser Blind"

"modifier_tinker_laser_blind_Description"	"Промахивается в %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% атак."
"[english]modifier_tinker_laser_blind_Description"	"Missing %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% of attacks."

"modifier_tinker_rearm"	"Rearm"
"[english]modifier_tinker_rearm"	"Rearm"

"modifier_tinker_rearm_Description"	"Сбрасывает время перезарядки способностей."
"[english]modifier_tinker_rearm_Description"	"Resetting ability cooldowns."

"modifier_sniper_shrapnel_slow"	"Замедление от Shrapnel"
"[english]modifier_sniper_shrapnel_slow"	"Shrapnel Slow"

"modifier_sniper_shrapnel_slow_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_sniper_shrapnel_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_sniper_assassinate"	"Assassinate"
"[english]modifier_sniper_assassinate"	"Assassinate"

"modifier_sniper_assassinate_Description"	"Sniper целится в твою голову!"
"[english]modifier_sniper_assassinate_Description"	"Sniper's taking aim at your head!"

"modifier_necrolyte_death_pulse_counter_Description"	"Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% ед. здоровья и %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% ед. маны в секунду."
"[english]modifier_necrolyte_death_pulse_counter_Description"	"Regening %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health and %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana a second."

"modifier_necrolyte_heartstopper_aura_effect"	"Heartstopper Aura"
"[english]modifier_necrolyte_heartstopper_aura_effect"	"Heartstopper Aura"

"modifier_necrolyte_heartstopper_aura_effect_Description"	"Теряет процент от максимального здоровья ежесекундно, пока находится рядом с Necrophos."
"[english]modifier_necrolyte_heartstopper_aura_effect_Description"	"Losing a percentage of health every second while near Necrophos."

"modifier_beastmaster_inner_beast"	"Inner Beast"
"[english]modifier_beastmaster_inner_beast"	"Inner Beast"

"modifier_beastmaster_inner_beast_Description"	"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_beastmaster_inner_beast_Description"	"%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% increased attack speed"

"modifier_beastmaster_primal_roar_slow"	"Замедление от Primal Roar"
"[english]modifier_beastmaster_primal_roar_slow"	"Primal Roar Slow"

"modifier_beastmaster_primal_roar_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_beastmaster_primal_roar_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_beastmaster_hawk_invisibility"	"Невидим"
"[english]modifier_beastmaster_hawk_invisibility"	"Invisibility"

"modifier_beastmaster_hawk_invisibility_Description"	"Hawk становится невидим для врагов."
"[english]modifier_beastmaster_hawk_invisibility_Description"	"Hawk is not visible to enemies."

"modifier_beastmaster_boar_poison_effect"	"Яд кабана"
"[english]modifier_beastmaster_boar_poison_effect"	"Boar Poison"

"modifier_beastmaster_boar_poison_effect_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_beastmaster_boar_poison_effect_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_queenofpain_shadow_strike"	"Shadow Strike"
"[english]modifier_queenofpain_shadow_strike"	"Shadow Strike"

"modifier_queenofpain_shadow_strike_Description"	"Получает периодический урон и двигается на %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% медленнее."
"[english]modifier_queenofpain_shadow_strike_Description"	"Taking periodic damage and moving %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% slower."

"modifier_lion_impale"	"Spike"
"[english]modifier_lion_impale"	"Spike"

"modifier_lion_impale_Description"	"Оглушен."
"[english]modifier_lion_impale_Description"	"Stunned."

"modifier_lion_voodoo"	"Voodoo"
"[english]modifier_lion_voodoo"	"Voodoo"

"modifier_lion_voodoo_Description"	"Вы — лягушка. Вы не можете атаковать или использовать заклинания."
"[english]modifier_lion_voodoo_Description"	"You are a frog.  You cannot attack or cast spells."

"modifier_lion_mana_drain"	"Drain"
"[english]modifier_lion_mana_drain"	"Drain"

"modifier_lion_mana_drain_Description"	"Теряет %dMODIFIER_PROPERTY_TOOLTIP% единиц маны в секунду."
"[english]modifier_lion_mana_drain_Description"	"Being drained %dMODIFIER_PROPERTY_TOOLTIP% mana per second."

"modifier_slardar_sprint"	"Guardian Sprint"
"[english]modifier_slardar_sprint"	"Guardian Sprint"

"modifier_slardar_sprint_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_slardar_sprint_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_slardar_amplify_damage"	"Corrosive Haze"
"[english]modifier_slardar_amplify_damage"	"Corrosive Haze"

"modifier_slardar_amplify_damage_Description"	"Броня снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nВы видимы для Slardar и его союзников."
"[english]modifier_slardar_amplify_damage_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.\nProvides True Sight to Slardar."

"modifier_slithereen_crush"	"Slithereen Crush"
"[english]modifier_slithereen_crush"	"Slithereen Crush"

"modifier_slithereen_crush_Description"	"Под действием способности Slithereen Crush у Slardar. Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки снижена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_slithereen_crush_Description"	"Affected by Slardar's Slithereen Crush. Move speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_venomancer_venomous_gale"	"Venomous Gale"
"[english]modifier_venomancer_venomous_gale"	"Venomous Gale"

"modifier_venomancer_venomous_gale_Description"	"Замедлен и получает %dMODIFIER_PROPERTY_TOOLTIP% периодического урона."
"[english]modifier_venomancer_venomous_gale_Description"	"Slowing and ticking for %dMODIFIER_PROPERTY_TOOLTIP% damage."

"modifier_venomancer_poison_sting"	"Poison Sting"
"[english]modifier_venomancer_poison_sting"	"Poison Sting"

"modifier_venomancer_poison_sting_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Получает %dMODIFIER_PROPERTY_TOOLTIP% периодического урона."
"[english]modifier_venomancer_poison_sting_Description"	"Slowing by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and ticking for %dMODIFIER_PROPERTY_TOOLTIP% damage."

"modifier_venomancer_poison_sting_fake"	"Poison Sting"
"[english]modifier_venomancer_poison_sting_fake"	"Poison Sting"

"modifier_venomancer_poison_sting_fake_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Получает %dMODIFIER_PROPERTY_TOOLTIP% периодического урона."
"[english]modifier_venomancer_poison_sting_fake_Description"	"Slowing by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and ticking for %dMODIFIER_PROPERTY_TOOLTIP% damage."

"modifier_venomancer_poison_nova"	"Poison Nova"
"[english]modifier_venomancer_poison_nova"	"Poison Nova"

"modifier_venomancer_poison_nova_Description"	"Получает %dMODIFIER_PROPERTY_TOOLTIP% периодического урона."
"[english]modifier_venomancer_poison_nova_Description"	"Ticking for %dMODIFIER_PROPERTY_TOOLTIP% damage."

"modifier_faceless_void_time_walk_slow"	"Замедление от Time Walk"
"[english]modifier_faceless_void_time_walk_slow"	"Time Walk Slow"

"modifier_faceless_void_time_walk_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_faceless_void_time_walk_slow_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_faceless_void_timelock_freeze"	"Time Lock"
"[english]modifier_faceless_void_timelock_freeze"	"Time Lock"

"modifier_faceless_void_timelock_freeze_Description"	"Faceless Void заморозил вас во времени!"
"[english]modifier_faceless_void_timelock_freeze_Description"	"You have been locked in time by Faceless Void!"

"modifier_faceless_void_chronosphere_freeze"	"Chronosphere"
"[english]modifier_faceless_void_chronosphere_freeze"	"Chronosphere"

"modifier_faceless_void_chronosphere_freeze_Description"	"Заперт во временном пространстве. Не может двигаться и действовать."
"[english]modifier_faceless_void_chronosphere_freeze_Description"	"Trapped in spacetime. Unable to move or act."

"modifier_pugna_decrepify"	"Decrepify"
"[english]modifier_pugna_decrepify"	"Decrepify"

"modifier_pugna_decrepify_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, получает дополнительный урон от магии в размере %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%%."
